id;course_id;grade
38;1;12.75
38;1;12.25
38;1;16
38;3;15.5
38;3;17.5
38;3;16
38;3;17.5
38;3;8
38;3;10.5
38;3;12
38;3;13
38;3;13
38;3;15
38;4;15.5
38;4;15
38;4;14
38;4;16
38;4;13.5
38;4;15.5
38;4;14
38;5;11.5
38;5;12
38;5;9
38;5;7.5
38;5;14.5
38;5;9.5
38;5;18.5
38;10;11.75
38;10;6.25
38;10;10
38;10;13.5
38;6;13
38;6;8
38;6;15
38;6;10
38;6;11
38;6;_
38;7;10.5
38;7;14.5
38;7;12.5
38;7;11.5
38;2;14
38;2;12
38;2;11
38;2;7.75
38;2;13.25
38;2;10.25
38;2;10.75
38;8;13
38;8;14.25
38;8;14.75
38;8;4
38;8;17.75
38;8;10.5
38;8;10.5
38;8;11.75
38;9;15
38;9;11.5
38;9;13
38;9;11
38;9;8.5
38;9;11
46;1;11.5
46;1;15.25
46;1;12
46;3;13
46;3;11
46;3;16
46;3;13
46;3;19.5
46;3;17.5
46;3;9
46;3;12.5
46;3;13
46;3;15
46;4;16.5
46;4;14.5
46;4;13.5
46;4;16
46;4;14
46;4;13.5
46;5;12.5
46;5;8
46;5;14
46;5;13.5
46;5;15
46;5;11
46;5;8.5
46;10;11.5
46;10;11.5
46;10;7.25
46;10;14.25
46;6;13
46;6;19
46;6;13
46;6;13
46;6;13
46;6;13
46;7;12
46;7;10
46;7;11
46;7;12
46;2;13.25
46;2;11.25
46;2;10.75
46;2;6.75
46;2;11
46;2;16
46;2;9
46;8;12
46;8;9.25
46;8;16.5
46;8;14.25
46;8;7.5
46;8;15.25
46;8;5.75
46;8;10.5
46;9;9
46;9;9.5
46;9;12.5
46;9;15.5
46;9;12.5
46;9;4.5
68;1;16.75
68;1;15.25
68;1;12.5
68;3;13
68;3;16
68;3;12
68;3;14.5
68;3;13.5
68;3;11.5
68;3;11.5
68;3;12
68;3;12
68;3;12
68;4;15
68;4;16
68;4;14
68;4;16
68;4;14.5
68;4;14
68;4;15.5
68;5;13
68;5;12
68;5;11.5
68;5;10
68;5;9
68;5;14.5
68;10;10.75
68;10;9.75
68;10;9.75
68;10;14
68;6;9
68;6;11
68;6;12
68;6;10
68;6;15
68;6;14
68;7;14
68;7;12.5
68;7;12.5
68;7;12
68;2;9.75
68;2;10.25
68;2;11
68;2;8.25
68;2;6.75
68;2;9.25
68;2;10.25
68;8;8
68;8;10
68;8;7.25
68;8;16.75
68;8;_
68;8;9.25
68;8;12.75
68;8;10.5
68;9;11
68;9;9
68;9;8
68;9;_
68;9;12
112;1;10.25
112;1;16.75
112;1;16
112;3;13
112;3;12
112;3;13.5
112;3;13.5
112;3;10.5
112;3;11
112;3;14
112;3;17.5
112;3;8.5
112;3;13.5
112;4;14.5
112;4;15.5
112;4;16.5
112;4;18
112;4;19
112;4;16.5
112;4;12.5
112;5;10
112;5;9
112;5;11.5
112;5;17
112;5;12
112;5;14
112;5;_
112;10;15.25
112;10;11
112;10;10.25
112;10;10.5
112;6;17
112;6;9
112;6;14
112;6;13
112;6;7
112;6;12
112;7;8
112;7;12
112;7;14.5
112;7;8.5
112;2;10.5
112;2;9.25
112;2;10.25
112;2;12.25
112;2;7.25
112;2;10
112;2;13.5
112;8;10
112;8;16.25
112;8;9.25
112;8;6.5
112;8;11
112;8;11.5
112;8;10.5
112;8;8.5
112;9;11
112;9;14.5
112;9;13.5
112;9;12.5
112;9;15.5
112;9;8
127;1;14.25
127;1;7.5
127;3;15
127;3;17
127;3;11.5
127;3;13.5
127;3;13.5
127;3;13
127;3;9
127;3;11
127;3;16.5
127;3;11
127;4;16.5
127;4;17
127;4;_
127;4;15.5
127;4;14.5
127;4;15
127;4;13.5
127;5;10.5
127;5;10.5
127;5;13
127;5;11.5
127;5;12.5
127;5;17.5
127;10;8.75
127;10;10.5
127;10;4.25
127;10;7.5
127;6;14
127;6;9
127;6;13
127;6;8
127;6;11
127;6;17
127;7;10.5
127;7;14.5
127;7;8
127;7;10
127;2;12.5
127;2;8.75
127;2;7.25
127;2;9.75
127;2;11.75
